Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
2;Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;53.33;Apartamento
3;Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;16.67;Apartamento
4;Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;26.0;Apartamento
7;Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;21.43;Apartamento
8;Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;16.67;Apartamento
9;Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;50.0;Apartamento
13;Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;17.59;Apartamento
14;Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;25.37;Apartamento
15;Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;17.27;Apartamento
17;Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;14.71;Apartamento
18;Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;25.64;Apartamento
19;Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;Apartamento
20;Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;15.62;Apartamento
21;Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;24.0;Apartamento
23;Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;32.89;Apartamento
25;Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;30.56;Apartamento
26;Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;21.9;Apartamento
27;Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;35.45;Apartamento
29;Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;17.5;Apartamento
30;Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;25.71;Apartamento
31;Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;20.49;Apartamento
32;Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;40.91;Apartamento
33;Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;33.33;Apartamento
34;Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;26.0;Apartamento
35;Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;32.64;Apartamento
36;Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;22.22;Apartamento
37;Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;25.0;Apartamento
38;Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;27.78;Apartamento
39;Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;57.14;Apartamento
40;Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;36.84;Apartamento
41;Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;19.28;Apartamento
43;Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;42.48;Apartamento
45;Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;36.78;Apartamento
46;Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;17.22;Apartamento
47;Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;26.42;Apartamento
48;Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;55.09;Apartamento
49;Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;20.93;Apartamento
50;Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;25.0;Apartamento
51;Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;25.68;Apartamento
52;Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;53.33;Apartamento
53;Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;56.43;Apartamento
55;Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;42.11;Apartamento
56;Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;16.67;Apartamento
59;Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;43.75;Apartamento
61;Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;25.0;Apartamento
62;Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;17.78;Apartamento
63;Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;40.0;Apartamento
64;Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;30.68;Apartamento
65;Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;29.73;Apartamento
66;Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;42.31;Apartamento
67;Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;19.48;Apartamento
68;Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;29.41;Apartamento
69;Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;18.59;Apartamento
70;Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0;42.59;Apartamento
72;Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;28.99;Apartamento
73;Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;58.33;Apartamento
74;Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;35.26;Apartamento
75;Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;16.67;Apartamento
76;Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;26.67;Apartamento
77;Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;46.51;Apartamento
79;Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;24.29;Apartamento
80;Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;22.5;Apartamento
82;Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;15.7;Apartamento
83;Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;10.73;Apartamento
84;Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;55.17;Apartamento
85;Apartamento;Olaria;2;1;0;53;1100.0;160.0;0.0;20.75;Apartamento
87;Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;33.73;Apartamento
88;Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;53.75;Apartamento
90;Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;51.02;Apartamento
91;Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;52.24;Apartamento
93;Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;34.09;Apartamento
94;Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;31.17;Apartamento
95;Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;24.55;Apartamento
97;Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;45.88;Apartamento
98;Apartamento;Catete;2;0;0;75;3350.0;455.0;0.0;44.67;Apartamento
